Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
Mason Mount,eng ENG,"MF,FW",21,32.1,2293,31,261,1099,1115,147,2100,50,79,63.3,52,9,1598,8910,4946,265,100,38,49,54,1962,1642,83.7,234,Matches
Edouard Mendy,sn SEN,GK,28,30.5,1050,908,1045,7,0,0,838,1,1,100.0,1,0,597,2350,898,0,0,0,1,0,617,613,99.4,0,Matches
Timo Werner,de GER,FW,24,28.9,1176,6,94,480,690,202,1144,30,79,38.0,35,3,810,5183,3153,147,48,57,77,51,1445,923,63.9,257,Matches
Ben Chilwell,eng ENG,DF,23,25.4,2111,60,559,920,779,77,1833,18,33,54.5,21,1,1322,7013,4207,177,61,11,27,26,1574,1410,89.6,90,Matches
Reece James,eng ENG,DF,20,26.4,2287,85,587,1009,824,62,2048,40,53,75.5,42,1,1490,6400,3378,178,49,25,13,27,1714,1582,92.3,103,Matches
César Azpilicueta,es ESP,DF,30,24.3,2269,136,824,1076,465,38,2088,5,10,50.0,5,0,1331,5749,3612,114,37,1,8,13,1656,1582,95.5,36,Matches
N'Golo Kanté,fr FRA,MF,29,23.8,1806,65,480,1070,372,17,1787,29,38,76.3,29,1,1135,5484,2999,112,38,4,26,27,1298,1217,93.8,43,Matches
Jorginho,it ITA,MF,28,22.3,1965,73,538,1241,303,18,1935,18,25,72.0,20,0,1331,5388,2889,102,28,2,11,18,1545,1499,97.0,15,Matches
Thiago Silva,br BRA,DF,35,21.5,2077,265,993,1185,57,19,2036,2,3,66.7,2,0,1453,8169,5319,159,17,0,7,2,1611,1594,98.9,2,Matches
Kurt Zouma,fr FRA,DF,25,22.5,1956,278,998,1029,75,31,1929,5,7,71.4,5,0,1339,7029,4108,97,22,0,4,7,1530,1505,98.4,5,Matches
Mateo Kovačić,hr CRO,MF,26,20.2,1934,26,352,1317,417,17,1913,44,54,81.5,44,1,1497,8287,4242,193,58,4,20,30,1711,1630,95.3,45,Matches
Antonio Rüdiger,de GER,DF,27,19.0,1651,184,771,895,98,19,1623,3,6,50.0,4,1,1182,5854,3273,76,25,1,2,0,1309,1282,97.9,0,Matches
Christian Pulisic,us USA,"FW,MF",21,19.3,1009,11,95,457,547,117,996,46,94,48.9,52,4,774,4618,2831,171,54,27,62,50,1028,774,75.3,163,Matches
Kai Havertz,de GER,"MF,FW",21,16.9,995,20,116,513,441,91,976,22,46,47.8,24,3,728,3630,1703,84,45,16,45,38,1026,781,76.1,162,Matches
Andreas Christensen,dk DEN,DF,24,15.2,1245,181,698,595,34,7,1221,1,2,50.0,2,0,833,4172,2385,54,10,0,2,3,930,916,98.5,1,Matches
Hakim Ziyech,ma MAR,"FW,MF",27,13.0,873,9,73,401,443,37,829,18,34,52.9,19,4,671,2552,1269,78,22,12,25,19,848,686,80.9,92,Matches
Tammy Abraham,eng ENG,FW,22,11.6,356,21,40,167,166,66,347,6,19,31.6,6,2,177,709,252,13,5,4,26,13,491,251,51.1,96,Matches
Marcos Alonso,es ESP,DF,29,10.7,729,36,200,310,270,46,639,7,14,50.0,7,0,434,2130,1275,63,19,9,4,14,527,453,86.0,44,Matches
Callum Hudson-Odoi,eng ENG,"FW,DF",19,11.8,781,9,91,266,485,71,749,15,28,53.6,15,1,593,3932,2593,161,33,34,13,15,754,613,81.3,101,Matches
Olivier Giroud,fr FRA,FW,33,8.3,301,10,35,136,137,47,295,3,5,60.0,3,0,139,239,72,3,1,0,15,9,449,230,51.2,53,Matches
Kepa Arrizabalaga,es ESP,GK,25,6.5,256,241,254,4,0,0,205,0,0,0,0,148,575,303,0,0,0,2,0,148,148,100.0,0,Matches,
Billy Gilmour,sco SCO,MF,19,2.9,237,2,46,145,55,0,234,1,3,33.3,1,1,173,647,245,12,4,0,0,3,200,193,96.5,2,Matches
Willy Caballero,ar ARG,GK,38,1.0,26,21,26,1,0,0,19,0,0,0,0,12,77,20,0,0,0,0,0,15,15,100.0,0,Matches,
Ruben Loftus-Cheek,eng ENG,FW,24,0.7,25,0,5,16,5,0,25,0,4,0.0,0,1,19,84,46,1,1,0,2,1,29,18,62.1,5,Matches
Emerson Palmieri,it ITA,DF,25,1.0,82,6,26,36,24,1,71,0,1,0.0,0,0,43,193,120,2,1,1,2,2,47,44,93.6,1,Matches
Fikayo Tomori,eng ENG,DF,22,0.5,41,19,36,6,0,0,40,0,0,0,0,21,90,38,0,0,0,0,0,21,21,100.0,0,Matches,
Ross Barkley,eng ENG,MF,26,0.5,33,0,8,19,8,1,33,4,5,80.0,4,0,25,127,84,3,1,0,1,0,32,24,75.0,5,Matches
