Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Mason Mount,eng ENG,"MF,FW",21,32.1,6,82,26,31.7,2.55,0.81,0.06,0.19,20.5,7,1,1,6.8,6.0,0.07,-0.8,-1.0,Matches
Edouard Mendy,sn SEN,GK,28,30.5,0,0,0,0.00,0.00,0,0,0,0.0,0.0,0.0,0.0,Matches,,,,,
Timo Werner,de GER,FW,24,28.9,6,80,31,38.8,2.77,1.07,0.08,0.19,13.8,0,0,0,11.9,11.9,0.15,-5.9,-5.9,Matches
Ben Chilwell,eng ENG,DF,23,25.4,3,27,10,37.0,1.06,0.39,0.11,0.30,14.0,0,0,0,2.4,2.4,0.09,+0.6,+0.6,Matches
Reece James,eng ENG,DF,20,26.4,1,36,12,33.3,1.37,0.46,0.03,0.08,21.0,4,0,0,1.6,1.6,0.04,-0.6,-0.6,Matches
César Azpilicueta,es ESP,DF,30,24.3,1,11,4,36.4,0.45,0.16,0.09,0.25,16.1,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches
N'Golo Kanté,fr FRA,MF,29,23.8,0,10,3,30.0,0.42,0.13,0.00,0.00,19.5,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches
Jorginho,it ITA,MF,28,22.3,7,6,0,0.0,0.27,0.00,0.00,39.5,0,7,9,7.0,0.1,0.02,0.0,-0.1,Matches,
Thiago Silva,br BRA,DF,35,21.5,2,13,4,30.8,0.60,0.19,0.15,0.50,8.0,0,0,0,1.1,1.1,0.09,+0.9,+0.9,Matches
Kurt Zouma,fr FRA,DF,25,22.5,5,27,12,44.4,1.20,0.53,0.19,0.42,12.2,0,0,0,1.8,1.8,0.07,+3.2,+3.2,Matches
Mateo Kovačić,hr CRO,MF,26,20.2,0,23,4,17.4,1.14,0.20,0.00,0.00,22.9,0,0,0,1.0,1.0,0.04,-1.0,-1.0,Matches
Antonio Rüdiger,de GER,DF,27,19.0,1,14,6,42.9,0.74,0.32,0.07,0.17,17.4,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
Christian Pulisic,us USA,"FW,MF",21,19.3,4,43,16,37.2,2.23,0.83,0.09,0.25,13.9,0,0,0,5.4,5.4,0.13,-1.4,-1.4,Matches
Kai Havertz,de GER,"MF,FW",21,16.9,4,35,15,42.9,2.07,0.89,0.11,0.27,12.3,0,0,0,6.3,6.3,0.18,-2.3,-2.3,Matches
Andreas Christensen,dk DEN,DF,24,15.2,0,3,0,0.0,0.20,0.00,0.00,11.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,
Hakim Ziyech,ma MAR,"FW,MF",27,13.0,2,35,12,34.3,2.69,0.92,0.06,0.17,21.8,0,0,0,1.9,1.9,0.05,+0.1,+0.1,Matches
Tammy Abraham,eng ENG,FW,22,11.6,6,32,13,40.6,2.77,1.13,0.19,0.46,9.7,0,0,0,6.4,6.4,0.20,-0.4,-0.4,Matches
Marcos Alonso,es ESP,DF,29,10.7,2,22,9,40.9,2.06,0.84,0.09,0.22,17.2,5,0,0,1.7,1.7,0.08,+0.3,+0.3,Matches
Callum Hudson-Odoi,eng ENG,"FW,DF",19,11.8,2,23,6,26.1,1.95,0.51,0.09,0.33,19.1,0,0,0,1.4,1.4,0.06,+0.6,+0.6,Matches
Olivier Giroud,fr FRA,FW,33,8.3,4,29,10,34.5,3.49,1.20,0.14,0.40,10.8,0,0,0,4.8,4.8,0.17,-0.8,-0.8,Matches
Kepa Arrizabalaga,es ESP,GK,25,6.5,0,0,0,0.00,0.00,0,0,0,0.0,0.0,0.0,0.0,Matches,,,,,
Billy Gilmour,sco SCO,MF,19,2.9,0,1,0,0.0,0.34,0.00,0.00,20.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,
Willy Caballero,ar ARG,GK,38,1.0,0,0,0,0.00,0.00,0,0,0,0.0,0.0,0.0,0.0,Matches,,,,,
Ruben Loftus-Cheek,eng ENG,FW,24,0.7,0,0,0,0.00,0.00,0,0,0,0.0,0.0,0.0,0.0,Matches,,,,,
Emerson Palmieri,it ITA,DF,25,1.0,0,0,0,0.00,0.00,0,0,0,0.0,0.0,0.0,0.0,Matches,,,,,
Fikayo Tomori,eng ENG,DF,22,0.5,0,0,0,0.00,0.00,0,0,0,0.0,0.0,0.0,0.0,Matches,,,,,
Ross Barkley,eng ENG,MF,26,0.5,0,1,1,100.0,2.14,2.14,0.00,0.00,28.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
